Egg,Sperm,Cross,Timepoint,Conical.ID,Larval.ID,Start,End,censor
NB,NB,NBNB,7,L16,7,20160712,20160713,0
NB,NB,NBNB,7,L16,8,20160712,20160713,0
NB,NB,NBNB,7,L16,9,20160712,20160713,1
NB,NB,NBNB,7,L16,10,20160712,20160713,1
NB,NB,NBNB,7,L7,1,20160712,20160713,0
NB,NB,NBNB,7,L7,2,20160712,20160713,0
NB,NB,NBNB,7,L7,3,20160712,20160713,0
NB,NB,NBNB,7,L7,4,20160712,20160713,0
NB,NB,NBNB,7,L7,5,20160712,20160713,0
NB,NB,NBNB,7,L7,6,20160712,20160713,0
NB,NB,NBNB,7,L7,7,20160712,20160713,0
NB,NB,NBNB,7,L7,8,20160712,20160713,1
NB,NB,NBNB,7,L7,9,20160712,20160713,1
NB,NB,NBNB,7,L7,10,20160712,20160713,1
NB,NB,NBNB,7,L8,1,20160712,20160713,0
NB,NB,NBNB,7,L8,2,20160712,20160713,0
NB,NB,NBNB,7,L8,3,20160712,20160713,0
NB,NB,NBNB,7,L8,4,20160712,20160713,0
NB,NB,NBNB,7,L8,5,20160712,20160713,0
NB,NB,NBNB,7,L8,6,20160712,20160713,0
NB,NB,NBNB,7,L8,7,20160712,20160713,0
NB,NB,NBNB,7,L8,8,20160712,20160713,0
NB,NB,NBNB,7,L8,9,20160712,20160713,0
NB,NB,NBNB,7,L8,10,20160712,20160713,0
NB,NB,NBNB,7,L9,1,20160712,20160713,0
NB,NB,NBNB,7,L9,2,20160712,20160713,0
NB,NB,NBNB,7,L9,3,20160712,20160713,0
NB,NB,NBNB,7,L9,4,20160712,20160713,0
NB,NB,NBNB,7,L9,5,20160712,20160713,0
NB,NB,NBNB,7,L9,6,20160712,20160713,0
NB,NB,NBNB,7,L9,7,20160712,20160713,0
NB,NB,NBNB,7,L9,8,20160712,20160713,0
NB,NB,NBNB,7,L9,9,20160712,20160713,0
NB,NB,NBNB,7,L9,10,20160712,20160713,0
NB,NB,NBNB,7,L9,11,20160712,20160713,0
NB,NB,NBNB,7,S22,1,20160712,20160713,0
NB,NB,NBNB,7,S22,2,20160712,20160713,0
NB,NB,NBNB,7,S22,3,20160712,20160713,0
NB,NB,NBNB,7,S22,4,20160712,20160713,0
NB,NB,NBNB,7,S22,5,20160712,20160713,0
NB,NB,NBNB,7,S22,6,20160712,20160713,0
NB,NB,NBNB,7,S22,7,20160712,20160713,0
NB,NB,NBNB,7,S22,8,20160712,20160713,0
NB,NB,NBNB,7,S22,9,20160712,20160713,0
NB,NB,NBNB,7,S22,10,20160712,20160713,0
B,B,BB,28,L13,1,20160713,20160801,1
B,B,BB,28,L13,2,20160713,20160801,1
